Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
1,accountant,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager
2,chief,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer
3,assistant,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
4,carpenter,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant
5,teacher,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she,she
6,lawyer,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
7,assistant,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief
8,laborer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer
9,designer,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
10,cook,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
11,clerk,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant
12,analyst,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
13,cashier,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard
14,guard,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
15,writer,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
16,lawyer,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
17,housekeeper,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard
18,cook,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer
19,accountant,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
20,ceo,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier
21,hairdresser,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer
22,carpenter,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer
23,cleaner,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
24,lawyer,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
25,counselor,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
26,developer,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed,unemployed
27,teacher,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor
28,manager,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard
29,housekeeper,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
30,mover,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver
